wallet,tx_hash,method,value
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x640f94f0c25bbad17649e5ad1e182b32ada0b2e951c1dab19f5a275f4b664fd3,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4584f349666f728a0eab8875b5d2d2bf29dd9f1454661afd6a631343397a4666,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x44be07924a7be31264db09f38bc25d77783499fb1112acecd0061f8bde809c83,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6c3d2efce723945e1a9c321f2fc574c68319ba5f5171de21cbb2abcbfe409e13,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x91c96b51deb8adedfe65a60689dbbefdb2c07dde8542f23012adcfdbaf6970b4,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x068eb8e6b7a77889352424706c2bc37888ce1ecaa163e839a5216b507a29b79f,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xe004b7aac3a11b710e4cb834f3c6ee7dc9cac46e519e1667d45baf69d91f1192,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x87cab04c9da23c255162c7a6084ec36788f9f81541ef2dafad52013b37c25a1f,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x86b022e261e67170a0a4b5eb642946cdee8d47603f760f72d123d291eef92cad,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x117a904d6a85667375672e919d0f8227e0cb86992110c7af5d512e2d9ec3ac72,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc2483ab44871ab4f3c139f1fbbee48e73b0abf9d03af1bdc235f12d70dca0c9a,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x66ff12f1690dc45b8439abab55f60fda1a229562788aa2ddbb28381e7c6e2cf4,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xf5cb4eee2d2ee3945224918a6be83b1191a1ee1d5290142476c711e0ded41a8c,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc26ef63cb87d5c3cdb361c6776c9d761438fc1bb43fa50656a129fd319f97069,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc0c3e5480eb693617239872f30d3bc41167707e2f7eb22c950be6a02ced44b3f,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xdb92fa38f537981a857f16547d19c95f20a0b433823fba016be17c91bc11750c,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc0b584b249d7fded4f6fc72c8705dc613057d1e5e4fa34c596fa497712865835,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x51c40dbee98b5a996df41e04e9f78d778ac06c42c0e0415951c8c15578c0793e,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x52045cf66f22e6acdf6bff3cd1d709fe4c924442c21230167925b1137eb1d167,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xb96f38f1b9c09c7d72d26edf544be12d6fb3001883052afbc24cbeffee835ee4,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa1c561625cc7899b521aaa88a538a1a5d4c0a2fcc22e91e0afcb6b7a6bac3353,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xfce170dd4682a73d3be64150c5018b2f944ff0f555753d4d67fc1f36e910238d,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5e70790180525e00f1ef37f08cebdaceee386bd853723244cb0bcbda8688e6a9,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x97b2e38994bb7d4b7783098a34f7bbe65094a0369a42fa83887b4b394c067b70,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xf7aa069cfdbc978dc815d94d1ea6c5e5ef322d52925832d6ea6d7f44527d69fb,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x46404194a50cf31325cb20cfec6628722371bb4b3a4c06f47de1d410e6d01e07,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x50ca290be1f358548903200b52c12e63b4a144d61689bd7af7a80755c268478f,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xad13aa8d81517d225f75e11c6d66fba9167cfac3630afe15c68570ba6635ef59,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xad2774c8369a6ce198283ef560ae8b855b11c2b6675700fc87e587f84e86d04e,,0.001
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x48ba01c13c7b7cd986f6747582a7b6a4f72d616fcdb8ca105a48c40c6191ddee,,1.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0fab648eb67fd3b4b86c7079de74bf6320b06f7f0f66b9c69818de45029c7fb6,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9e15260ecb9c057a1839c8b3944f046fa11e3eff5e2e5e93ef8e04cfc8439127,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xaf544167eb93e1afc4c1cc91a9d4b1bf2147c622dc7149547e3b18ff60554198,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0ff405cbef674955cb9ad5cbc1c68bc3041f9941e4be9a356b627e38ae30d421,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xaf060d381617faecc925c3a923a3d129a00c83da17ef2ed9ee186c9711a5fced,,1.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xce4a12e2aa52d5b91cf714373bb829f8f97638417582003dc5cf9c3b6c6b8d38,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4768b2caea965c8ab658be5d2020cb79906e1c916e7745f657f06fc3ae00c888,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x4bc20bc75e3ccdd48a815a65afa8da2e67c5638096bfa3c39936d555ab0f5a0f,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc8e12979a50007d611da3be03a1d11f05d8cddd5baf7f1ca818c5fb1b1947c81,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xfac967d500082f4485f24d3ee33c4fc06f85a2d5428924d97f968d555f877838,,0.253641
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x754e9eb22b91840aedb3050c3396e38b63b115359755a09056ce5963ebaf2fe0,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0954a7214fc97456a836f1be16f6d2f54a1a78ed7f62b0c5f3874dc299f21a95,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3dfbebdd4f627c0cb79a463b68e69f277ee11196b16bd77754c83366b8d50a61,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xb6eb7ef2fa0896967236c893aa20305129c0db5bf6f4913b96d886703f583000,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x65e6b17faec02682c648c12ea9a1dc481164164f9a8f81b3e8d007efebcf7978,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xc5d84133eb64545eb3051786a63a296a3b92cab510bd2c6cb3f6ab98d97c6582,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xe27a709ca8972ebfabbea35a7a759bd42ca2ccefe684dc6d0daeca13303e2278,,0.0
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x2e4a90f3e0257aee0d6961a91c01acd5874ffcf8754d1b28d59b1a73acb8b9a9,,0.0
